序号,日语词汇,假名,词性,陌生程度,翻译,
42,脚光,きゃっこう,名詞,1次,舞台灯光，公众关注,"裸足（はだし）：没穿鞋
素足（すあし）：自然状态的脚"
43,脚光を浴びる,きゃっこうをあびる,慣用句/動詞句,9,演员登台，上演（崭露头角）,
44,水滴,すいてき,名詞,9,水滴,
45,嘲笑う,あざわらう,他動詞,1次,嘲笑，讥笑，嘲讽,
46,揶揄う,からかう,他動詞,1次,戏弄，嘲笑,
47,嘲る,あざける,他動詞,2次,嘲笑，讥讽,
48,助ける,たすける,他動詞,9,帮助，救助,
49,助かる,たすかる,自動詞,9,获救，得救,
50,求める,もとめる,他動詞,9,要求，寻求,
51,認める,みとめる,他動詞,9,承认，认可,
52,纏める,まとめる,他動詞,9,总结，汇总,
53,戸惑う,とまどう,自動詞,1次,迷茫，困惑,
54,惑う,まどう,自動詞,1次,为难，困惑,
55,彷徨う,さまよう,自動詞,1次,迷茫，流浪,
56,迷う,まよう,自動詞,9,迷惑，迷失,
57,焦る,あせる,自動詞,9,焦躁，着急（一类动词）,
58,褪せる,あせる,自動詞,9,褪色（二类动词）,
59,焦げる,こげる,自動詞,1次,烧焦，烤糊,
60,急ぐ,いそぐ,自他動詞,9,急，忙,
61,慌てる,あわてる,自動詞,9,慌张,
62,いらいら,いらいら,副詞/サ変,9,焦急，烦躁,
63,縮む,ちぢむ,自動詞,9,缩水，缩小,
64,きつい,きつい,形容詞,1次,紧小的；辛苦的；严厉的,
65,丈,たけ,名詞,1次,衣服长度,"竹（たけ）：竹子，竹制品
茸（たけ）：蘑菇，菇类"
66,裾,すそ,名詞,1次,下摆，裤脚；山脚；,"裾野（すその）：山麓，山脚
麓（ふもと）：山麓，山脚
裾上げ：增加裙摆"
67,呆気ない,あっけない,形容詞,1次,令人失望；扫兴,
68,つまらない,つまらない,形容詞,9,无聊的,
69,くだらない,くだらない,形容詞,9,没意思的,
70,退屈,たいくつ,名詞/形容動詞,9,乏味，厌倦,
71,後回し,あとまわし,名詞,1次,推迟，延缓,上回る（うわまわる）：超过，胜过
72,あべこべ,あべこべ,名詞/形容動詞,1次,相反，颠倒,
73,逆,ぎゃく,名詞/形容動詞,9,相反,
74,操る,あやつる,他動詞,1次,操纵；控制；掌握；熟练使用,
75,横領,おうりょう,名詞/サ変,1次,贪污，侵占，挪用,
76,陰,かげ,名詞,9,暗处，背后,影（かげ）：影子，背影，henji
77,操作,そうさ,名詞/サ変,9,操作,
78,支配,しはい,名詞/サ変,9,支配，控制,
79,左右,さゆう,名詞/サ変,9,左右，支配,
80,危ぶむ,あやぶむ,他動詞,9,担心，怀疑，感到危险,
81,遭難,そうなん,名詞/サ変,9,遇难,
82,行方,ゆくえ,名詞,1次,去向，行踪,
83,未だに,いまだに,副詞,1次,至今，尚且,
84,乗組員,のりくみいん,名詞,1次,乘务员,
85,生存,せいぞん,名詞/サ変,1次,生存,
86,行方不明,ゆくえふめい,名詞/形容動詞,9,下落不明,
87,危うい,あやうい,形容詞,9,危险的,
88,危ない,あぶない,形容詞,9,危险的,
89,あやふや,あやふや,形容動詞,9,态度含糊，不清楚,
90,激怒,げきど,名詞/サ変,1次,激怒,怒りをかう：招人生气
91,曖昧,あいまい,形容動詞,9,暧昧，模糊,
92,あべこべ,あべこべ,名詞/形容動詞,9,相反,
93,過ち,あやまち,名詞,9,过错，错误,
94,犯す,おかす,他動詞,9,犯法，犯错,
95,侵す,おかす,他動詞,9,侵犯,
96,過つ,あやまつ,他動詞,9,犯错,
97,誤る,あやまる,他動詞,9,失误,
98,謝る,あやまる,自他動詞,9,道歉,
99,詫びる,わびる,他動詞,9,认错，致歉,
100,予め,あらかじめ,副詞,9,预先，事前,
101,事前に,じぜんに,副詞,9,事先,
102,前もって,まえもって,副詞,1次,提前,に先立って・に先立つ
103,荒っぽい,あらっぽい,形容詞,9,粗野，粗暴,
104,荒い,あらい,形容詞,9,粗暴的,
105,大人っぽい,おとなっぽい,形容詞,9,像大人的,
106,飽きっぽい,あきっぽい,形容詞,9,容易厌倦的,
107,油っぽい,あぶらっぽい,形容詞,9,油腻的,
108,甘っぽい,あまっぽい,形容詞,9,带甜味的,
109,有様,ありさま,名詞,1次,状态，情形,
110,ありのまま,ありのまま,名詞/副詞,1次,真实，如实，不加修饰,
111,有り触れる,ありふれる,自動詞,1次,通常的，不稀奇的,
112,普通,ふつう,名詞/形容動詞,9,普通,
113,珍しい,めずらしい,形容詞,9,罕见的,
114,稀,まれ,形容動詞,1次,稀有的,
115,砕ける,くだける,自動詞,1次,粉碎，破碎；平易近人,
116,暗示,あんじ,名詞/サ変,9,暗示，示意,
117,叫ぶ,さけぶ,自他動詞,9,呼喊,
118,指示,しじ,名詞/サ変,9,指示,
119,明示,めいじ,名詞/サ変,9,明示,
120,示唆,しさ,名詞/サ変,1次,示唆，启发,
121,案じる,あんじる,他動詞,1次,思考，想办法；挂念，担心,
122,成り行き,なりゆき,名詞,1次,发展趋势,
123,心掛ける,こころがける,他動詞,9,留意，惦记,
124,信じる,しんじる,他動詞,9,相信,
125,感じる,かんじる,自他動詞,9,感觉,
126,興じる,きょうじる,自動詞,1次,感到有趣,
127,興味,きょうみ,名詞,9,兴趣,
128,案の定,あんのじょう,副詞,9,果然，不出所料,
129,予想どおり,よそうどおり,名詞/副詞,9,正如预想,
130,案外,あんがい,形容動詞/副詞,9,意外,
131,意外,いがい,形容動詞,9,意外,
132,いい加減,いいかげん,形容動詞/副詞,9,适当；敷衍，不负责任,
133,言い訳,いいわけ,名詞/サ変,9,辩解；道歉,
134,申し訳,もうしわけ,名詞,9,申辩，道歉,
135,如何に,いかに,副詞,1次,无论，不论,
136,热弁,ねつべん,名詞,1次,慷慨陈词,
137,震う,ふるう,自他動詞,1次,振奋，震动,震える：颤抖，发抖，震动
138,どんなに,どんなに,副詞,9,无论如何,
139,いくら,いくら,副詞,9,多少，无论,
140,たとえ～ても,たとえ～ても,接続詞,9,即使...也,
141,もし～ても,もし～ても,接続詞,9,即便,
142,如何にも,いかにも,副詞,1次,果然；的确，显然,果たして（はたして）：果然，毕竟，仍然
143,嘘くさい,うそくさい,形容詞,9,可疑的,
144,粋,いき,名詞/形容動詞,9,潇洒，帅气,"枠（わく）：框架，范围，界限
枠組み（わくぐみ）：框架，结构，体系
枠内（わくない）：框架内，范围内
枠外（わくがい）：框架外，范围外"
145,生き甲斐,いきがい,名詞,1次,生存的意义；生活的价值,
146,生きる,いきる,自動詞,9,生存,
147,甲斐,かい,名詞,9,价值，效果,
148,取り上げる,とりあげる,他動詞,1次,采纳；拿走,
149,意気込む,いきごむ,自動詞,1次,鼓足干劲；振奋精神,
150,幾多,いくた,名詞/副詞,9,几多，许多，多数,
151,乗り越える,のりこえる,他動詞,9,跨越；战胜，客服,
152,夥しい,おびただしい,形容詞,9,很多的,
153,弄る,いじる,他動詞,9,摆弄，玩弄；随便改动,
154,弄ぶ,もてあそぶ,他動詞,9,玩弄，戏弄，摆弄,
155,依然,いぜん,副詞,9,依然，依旧,
156,相変わらず,あいかわらず,副詞,9,照旧,
157,改めて,あらためて,副詞,9,重新,
158,もう一度,もういちど,副詞,9,再一次,
159,重ねて,かさねて,副詞,1次,重复地,
160,再び,ふたたび,副詞,1次,再次,
161,至って,いたって,副詞,9,极其，非常，很,
162,呑気,のんき,形容動詞,9,悠闲,
163,至る,いたる,自動詞,9,到达,
164,とても,とても,副詞,9,非常,
165,非常に,ひじょうに,副詞,9,非常,
166,極めて,きわめて,副詞,9,极其,
167,努める,つとめる,自動詞,1次,努力,
168,努めて,つとめて,副詞,1次,尽力，尽可能,
169,従う,したがう,自動詞,9,服从,
170,従って,したがって,接続詞,9,因此,
171,一概に,いちがいに,副詞,9,一概，一律,一律
172,一同,いちどう,名詞,1次,全体,
173,一様,いちよう,形容動詞,1次,同样,
174,頷く,うなずく,自動詞,1次,点头,
175,俯く,うつむく,自動詞,1次,低头，俯首,
176,一律,いちりつ,名詞/形容動詞,9,一律,
177,一連,いちれん,名詞,9,一连串，一系列,
178,一括,いっかつ,名詞/サ変,9,总汇，总括,
179,括弧,かっこ,名詞,9,括号,
180,審議,しんぎ,名詞/サ変,9,审议,
181,不審者,ふしんしゃ,名詞,9,可疑分子,
182,一気,いっき,副詞,1次,一口气，一下子,
183,鍛える,きたえる,他動詞,9,锻炼,
184,一挙に,いっきょに,副詞,1次,一下子，一举,
185,選挙,せんきょ,名詞/サ変,9,选举,
186,列挙,れっきょ,名詞/サ変,9,列举,
187,巨大,きょだい,形容動詞,9,巨大,
188,距離,きょり,名詞,9,距离,
189,居住地,きょじゅうち,名詞,1次,居住地,
190,一心,いっしん,名詞,1次,一心一意,
191,無事,ぶじ,名詞/形容動詞,9,平安,
192,祈る,いのる,他動詞,9,祈祷,
193,いっそ,いっそ,副詞/名詞,1次,索性，干脆，倒不如,
194,いっそのこと,いっそのこと,副詞,1次,索性,
195,むしろ,むしろ,副詞,9,宁可,
196,一層,いっそう,副詞,9,更，越发,
197,益々,ますます,副詞,9,益发,
198,一変,いっぺん,名詞/サ変,1次,突然改变，为之一变,
199,一目,ひとめ,名詞,9,一眼；乍一看,
200,一目惚れ,ひとめぼれ,名詞/サ変,9,一见钟情,
201,惚れる,ほれる,自動詞,1次,倾心，爱上,
202,意図,いと,名詞/サ変,9,意图，目的，打算,
203,著者,ちょしゃ,名詞,9,著者,
204,図表,ずひょう,名詞,1次,图表,
205,図々しい,ずうずうしい,形容詞,9,厚脸皮,
206,今更,いまさら,副詞,9,现在才，事到如今,
207,謝る,あやまる,自他動詞,9,道歉,
208,謝られる,あやまられる,動詞(受身),9,被道歉,
209,過つ,あやまつ,他動詞,9,犯错,
210,いまだ,いまだ,副詞,1次,尚，仍然,
211,嫌々,いやいや,副詞,1次,不情愿，勉勉强强,
212,会合,かいごう,名詞/サ変,1次,聚会,
213,待ち合わせる,まちあわせる,他動詞,1次,等候，会合,
214,依頼,いらい,名詞/サ変,9,委托,
215,頼む,たのむ,他動詞,9,请求,
216,頼る,たよる,自動詞,9,依靠,
217,頼もしい,たのもしい,形容詞,9,可靠的,
218,時々,ときどき,副詞,9,有时,
219,時折,ときおり,副詞,1次,偶尔,
220,嫌に,いやに,副詞,1次,太，非常，过于,
221,至って,いたって,副詞,9,极其，非常,
222,極めて,きわめて,副詞,9,极其,
223,阴気,いんき,名詞/形容動詞,9,忧郁，阴沉,
224,受け止める,うけとめる,他動詞,1次,接住，挡住；理解,
225,激怒,げきど,名詞/サ変,9,激怒,
226,打ち明ける,うちあける,他動詞,1次,坦率说出，毫不隐瞒,
227,打つ,うつ,他動詞,9,击打,
228,明ける,あける,自動詞,9,破晓；结束,
229,打ち切る,うちきる,他動詞,1次,停止，截至,
230,発掘,はっくつ,名詞/サ変,1次,发掘,
231,退屈,たいくつ,名詞/形容動詞,9,乏味,
232,理屈,りくつ,名詞,9,道理,
233,締め切る,しめきる,他動詞,9,截至,
234,打ち込む,うちこむ,自他動詞,1次,打入；专心致志,
235,専念,せんねん,名詞/サ変,9,专注,
236,取り組み,とりくみ,名詞,1次,举措,
237,落ち込む,おちこむ,自動詞,9,心情低落,
238,思い込む,おもいこむ,他動詞,1次,深信不疑,
239,励む,はげむ,自動詞,9,努力,
240,没頭,ぼっとう,名詞/サ変,1次,埋头,
241,取り組む,とりくむ,自動詞,9,致力于,
242,内訳,うちわけ,名詞,1次,明细，细目,
243,言い訳,いいわけ,名詞/サ変,9,辩解,
244,欝陶しい,うっとうしい,形容詞,1次,阴郁，沉闷；令人烦闷,陰気、落ち込む
245,つまらない,つまらない,形容詞,9,无聊的,
246,呆気ない,あっけない,形容詞,1次,扫兴的,
247,いちいち,いちいち,副詞,9,逐一,
248,指図,さしず,名詞/サ変,1次,指示,
249,俯く,うつむく,自動詞,1次,低下头，垂头,
250,擽る,くすぐる,他動詞,1次,挠痒，挑逗,"きまりわるい、恥ずかしい
てれくさい、くすぐったい"
251,頷く,うなずく,自動詞,1次,点头,
252,見下ろす,みおろす,他動詞,9,俯瞰,
253,見下げる,みさげる,他動詞,9,轻视,
254,虚ろ・空ろ,うつろ,名詞/形容動詞,1次,空虚，空洞；无神，恍惚,空しい・虚しい（むなしい）
255,瞳,ひとみ,名詞,9,眼珠,
256,ぼんやり,ぼんやり,副詞/サ変,9,发呆,
257,器,うつわ,名詞,1次,容器；才干，人才,
258,機器,きき,名詞,9,机器,
259,器用,きよう,形容動詞,9,灵巧,
260,盛る,もる,他動詞,9,盛，堆积,
261,盛る,さかる,自動詞,1次,繁盛,
262,盛大,せいだい,形容動詞,9,盛大,
263,繁盛,はんじょう,名詞/サ変,9,繁盛,
264,繁栄,はんえい,名詞/サ変,9,繁荣,
265,腕,うで,名詞,9,本事,
266,腕前,うでまえ,名詞,9,本领,
267,手,て,名詞,9,手,
268,人手,ひとで,名詞,1次,劳动力,
269,手薄,てうす,名詞/形容動詞,1次,人手不足,
270,手間,てま,名詞,1次,功夫，劳力,
271,腕前,うでまえ,名詞,9,能力，本领，才干,
272,自惚れる,うぬぼれる,自動詞,1次,骄傲，自负，自命不凡,
273,うぬ,うぬ,代名詞,9,自己，你（蔑称）,
274,惚れる,ほれる,自動詞,9,看中，爱上,
275,一目惚れ,ひとめぼれ,名詞/サ変,9,一见钟情,
276,生まれつき,うまれつき,名詞/副詞,9,天生，生来,
277,生まれながら,うまれながら,副詞,9,生来,
278,潤う,うるおう,自動詞,1次,湿润；宽裕、繁荣,
279,懐,ふところ,名詞,1次,腰包，胸襟,
280,儲かる,もうかる,自動詞,9,获利,儲かる・儲ける
281,商う,あきなう,他動詞,1次,交易，买卖,営む（いとなむ）：经营，从事
282,賄う,まかなう,他動詞,1次,供给，提供,賄賂（わいろ）
283,疑う,うたがう,他動詞,9,怀疑,
284,占う,うらなう,他動詞,9,占卜,
285,敬う,うやまう,他動詞,9,尊敬,
286,上回る,うわまわる,他動詞,9,超出，越出,
287,売れ行き,うれゆき,名詞,9,销售情况,
288,大幅,おおはば,名詞/形容動詞,9,大幅,
289,下回る,したまわる,他動詞,9,低于,
290,うんざり,うんざり,副詞/サ変,9,厌烦，厌腻,
291,飽きる,あきる,自動詞,9,厌烦,
292,飽きっぽい,あきっぽい,形容詞,9,易厌倦的,
293,運用,うんよう,名詞/サ変,9,运用,
294,円滑,えんかつ,形容動詞,9,顺利，流畅，圆滑,
295,交渉,こうしょう,名詞/サ変,9,谈判,
296,円高,えんだか,名詞,9,日元升值,
297,円安,えんやす,名詞,9,日元贬值,
298,円満,えんまん,名詞/形容動詞,9,圆满,
299,手順,てじゅん,名詞,9,工作步骤,
300,順調,じゅんちょう,名詞/形容動詞,9,顺利,
301,捗る,はかどる,自動詞,1次,有进展,
302,婉曲,えんきょく,名詞/形容動詞,1次,委婉，婉转,
303,言い回し,いいまわし,名詞,1次,说法,
304,言葉遣い,ことばづかい,名詞,1次,措辞,
305,円満,えんまん,名詞/形容動詞,9,圆满，美满,
306,紛争,ふんそう,名詞,9,纠纷,
307,分析,ぶんせき,名詞/サ変,9,分析,
308,大方,おおかた,名詞/副詞,1次,大家；大部分，大致,
309,予想どおり,よそうどおり,名詞/副詞,9,正如所料,
310,案の定,あんのじょう,副詞,9,果然,
311,当選,とうせん,名詞/サ変,9,当选,
312,選挙,せんきょ,名詞/サ変,9,选举,
313,伺う,うかがう,他動詞,9,拜访；闻,
314,大型,おおがた,名詞,9,大型,
315,一般,いっぱん,名詞,1次,一般；普通人，一般人；相似，相同,
316,大柄,おおがら,名詞/形容動詞,9,大花纹，大骨架,
317,模様,もよう,名詞,9,花纹,
318,似る,にる,自動詞,9,相似,
319,似合う,にあう,自動詞,9,合适,
320,合う,あう,自動詞,9,适合,
321,相応しい,ふさわしい,形容詞,9,相称的,
322,該当,がいとう,名詞/サ変,9,符合,
323,小柄,こがら,名詞/形容動詞,9,身材矮小,
324,間柄,あいだがら,名詞,9,关系,
325,大袈裟,おおげさ,形容動詞,1次,夸大，夸张,
326,誇張,こちょう,名詞/サ変,9,夸张,
327,オーバー,おーばー,名詞/形容動詞/サ変,9,夸张,
328,大筋,おおすじ,名詞,9,梗概，主要经过,
329,披露,ひろう,名詞/サ変,9,披露,
330,本筋,ほんすじ,名詞,9,主要内容,
331,粗筋,あらすじ,名詞,9,梗概,
332,道筋,みちすじ,名詞,1次,路线,
333,一筋,ひとすじ,名詞/形容動詞,1次,一心一意,一心（いっしん）
334,政府筋,せいふすじ,名詞,1次,政府方面,
335,鉄筋,てっきん,名詞,1次,钢筋,
336,筋,すじ,名詞,9,筋，道理,
337,大まか,おおまか,形容動詞,1次,草率，粗略,
338,粗忽,そこつ,名詞/形容動詞,1次,粗心,
339,恐れ入る,おそれいる,自動詞,9,不敢当；佩服；感到意外,
340,ざわと,ざわと,副詞,9,有意,
341,届ける,とどける,他動詞,9,送到,
342,受け取る,うけとる,他動詞,9,领取,
343,受ける,うける,自他動詞,9,接受,
344,引き取る,ひきとる,他動詞,9,取回,
345,感心,かんしん,名詞/形容動詞/サ変,9,钦佩,
346,肝心,かんじん,名詞/形容動詞,9,重要的,
347,大切,たいせつ,名詞/形容動詞,9,重要的,
348,大事,だいじ,名詞/形容動詞,9,重要的,
349,驚く,おどろく,自動詞,9,吃惊,
350,びっくりする,びっくりする,サ変,9,吃惊,
351,呆れる,あきれる,自動詞,9,发愣,
352,仰天,ぎょうてん,名詞/サ変,1次,大惊失色,
353,思いがけない,おもいがけない,形容詞,9,意想不到的,
354,案外,あんがい,形容動詞/副詞,9,意外,
355,意外,いがい,形容動詞,9,意外,
356,恐れ,おそれ,名詞,9,恐惧,
357,恐れる,おそれる,他動詞,9,害怕,
358,恐らく,おそらく,副詞,1次,恐怕,"疎か（おろそか）
愚か（おろか）：糊涂，愚蠢
愚かしい：糊涂的，傻的"
359,感謝,かんしゃ,名詞/サ変,9,感谢,
360,煽てる,おだてる,他動詞,9,奉承，怂恿，夸奖,煽る（あおる）：煽动，鼓吹；夸大
361,落ち込む,おちこむ,自動詞,9,下降；郁闷；落入,
362,不景気,ふけいき,名詞/形容動詞,9,经济萧条,
363,景気,けいき,名詞,9,景气,
364,景色,けしき,名詞,1次,景色,
365,候補,こうほ,名詞,1次,候选人,
366,逮捕,たいほ,名詞/サ変,9,逮捕,
367,ダウン,だうん,名詞/サ変,9,下降,
368,打ち込む,うちこむ,自他動詞,9,投入,
369,押し込む,おしこむ,他動詞,9,塞进,
370,お手上げ,おてあげ,名詞,1次,束手无策，毫无办法,
371,おどおど,おどおど,副詞/サ変,1次,心惊胆颤，惴惴不安,
372,怯える,おびえる,自動詞,9,胆怯,
373,物音,ものおと,名詞,1次,声响,
374,目つき,めつき,名詞,1次,眼神,
375,鋭い,するどい,形容詞,9,尖锐,
376,怖い,こわい,形容詞,9,可怕,
377,脅す,おどす,他動詞,9,威胁，恐吓,
378,汚職,おしょく,名詞,1次,贪污,
379,汚染,おせん,名詞/サ変,9,污染,
380,汚れる,よごれる,自動詞,1次,脏,
381,汚い,きたない,形容詞,1次,肮脏,
382,暴露,ばくろ,名詞/サ変,9,暴露,
383,乱暴,らんぼう,名詞/形容動詞/サ変,9,粗暴,
384,乱れる,みだれる,自動詞,9,紊乱,
385,暴れる,あばれる,自動詞,9,胡闹,
386,荒い,あらい,形容詞,9,粗野,
387,自ずから,おのずから,副詞,9,自然而然地（客观性）,
388,自ずと,おのずと,副詞,9,自然,
389,自然に,しぜんに,副詞,9,自然地,
390,自ら,みずから,名詞/副詞,9,亲自,
391,自分で,じぶんで,副詞,9,自己,
392,興味,きょうみ,名詞,9,兴趣,
393,興奮,こうふん,名詞/サ変,9,兴奋,
394,振興,しんこう,名詞/サ変,9,振兴,
395,興じる,きょうじる,自動詞,9,感到有趣,
396,進める,すすめる,他動詞,9,推进,
397,怯える,おびえる,自動詞,9,害怕，胆怯,
398,小心,しょうしん,名詞/形容動詞,1次,胆怯,
399,臆病,おくびょう,名詞/形容動詞,1次,胆怯；怯懦；懦弱,
400,脅かす,おびやかす,他動詞,9,威胁，威逼,
401,夥しい,おびただしい,形容詞,9,大量，很多,
402,幾多,いくた,名詞/副詞,9,许多,
403,大量,たいりょう,名詞/形容動詞,9,大量,
404,思いつき,おもいつき,名詞,9,偶然的想法、设想,
405,思いつく,おもいつく,他動詞,9,想到，想起,
406,思い切る,おもいきる,自他動詞,9,死心，断念,
407,思い切り,おもいきり,副詞,9,尽情地,
408,思い込む,おもいこむ,他動詞,9,深信,
409,思い出す,おもいだす,他動詞,9,想起,
410,思い出,おもいで,名詞,9,回忆,
411,思いやり,おもいやり,名詞,9,体谅,
412,趣,おもむき,名詞,1次,情趣,
413,赴く,おもむく,自動詞,1次,前往,
414,趣味,しゅみ,名詞,9,兴趣,
415,趣旨,しゅし,名詞,9,主旨,
416,旨,むね,名詞,1次,宗旨，意义,
417,及ぶ,およぶ,自動詞,9,赶得上，匹敌；涉及,
418,足元,あしもと,名詞,9,脚下,
419,皮膚,ひふ,名詞,9,皮肤,
420,疲労,ひろう,名詞/サ変,9,疲劳,
421,波及,はきゅう,名詞/サ変,1次,波及,
422,破壊,はかい,名詞/サ変,1次,破坏,
423,及ぴ,および,接続詞,9,以及,
424,及ぼす,およぼす,他動詞,9,使达到，使影响,
425,追及,ついきゅう,名詞/サ変,9,追究,
426,折り返す,おりかえす,自他動詞,9,返回，反复,
427,急用,きゅうよう,名詞,9,急事,
428,繰り返す,くりかえす,他動詞,9,反复,
429,疎か,おろそか,形容動詞,9,疏忽，怠慢,
430,温和,おんわ,名詞/形容動詞,9,温和（气候）,
431,適す,てきす,自動詞,9,适合,
432,温厚,おんこう,名詞/形容動詞,9,温柔，敦厚,
433,平和,へいわ,名詞/形容動詞,9,和平,
434,和室,わしつ,名詞,9,日式房间,
435,和む,なごむ,自動詞,9,缓和，温和,
436,回収,かいしゅう,名詞/サ変,9,回收,
437,収集,しゅうしゅう,名詞/サ変,9,收集,
438,街頭,がいとう,名詞,9,街头,
439,商店街,しょうてんがい,名詞,9,商店街,
440,繁華街,はんかがい,名詞,9,繁华街,
441,中華街,ちゅうかがい,名詞,9,中华街,
442,街道,かいどう,名詞,9,街道,
443,街角,まちかど,名詞,9,街角,
444,該当,がいとう,名詞/サ変,9,符合，适合,
445,丸印,まるじるし,名詞,9,圆圈,
446,介抱,かいほう,名詞/サ変,9,护理，服侍,
447,介護,かいご,名詞/サ変,9,看护,
448,世話をする,せわをする,動詞句,9,照料,
449,面倒を見る,めんどうをみる,動詞句,9,照顾,
450,辛抱,しんぼう,名詞/サ変,9,忍耐,
451,我慢,がまん,名詞/サ変,9,忍受,
452,顧みる,かえりみる,他動詞,9,回顾,
453,省みる,かえりみる,他動詞,9,反省,
454,反省,はんせい,名詞/サ変,9,反省,
455,省略,しょうりゃく,名詞/サ変,9,省略,
456,省く,はぶく,他動詞,9,省略,
457,振り向く,ふりむく,自動詞,9,回头看,
458,振り返る,ふりかえる,他動詞,9,回顾,
459,顔つき,かおつき,名詞,9,相貌，样子,
460,顔色,かおいろ,名詞,9,脸色,
461,目つき,めつき,名詞,9,眼神,
462,体つき,からだつき,名詞,9,体态,
463,格差,かくさ,名詞,9,差别，差距,
464,待遇,たいぐう,名詞/サ変,9,待遇,
465,差別待遇,さべつたいぐう,名詞,9,差别待遇,
466,嵩張る,かさばる,自動詞,9,体积大，占地方,
467,嵩,かさ,名詞,9,体积,
468,嵩む,かさむ,自動詞,9,数量多，费用多,
469,冠婚葬祭,かんこんそうさい,名詞,9,婚丧嫁娶,
470,出費,しゅっぴ,名詞/サ変,9,花费,
471,微か,かすか,形容動詞,9,微弱的，隐约的,
472,波,なみ,名詞,9,波浪,
473,霞む,かすむ,自動詞,9,变得模糊，隐约,
474,ぼんやり,ぼんやり,副詞/サ変,9,模糊,
475,過疎,かそ,名詞/形容動詞,9,人口过稀,
476,悩む,なやむ,自動詞,9,苦恼,
477,悩ます,なやます,他動詞,9,使苦恼,
478,疎通,そつう,名詞/サ変,9,疏通,
479,疎か,おろそか,形容動詞,9,疏忽,
480,疎い,うとい,形容詞,9,疏远，生疏,
481,過密,かみつ,名詞/形容動詞,9,过密,
482,片言,かたこと,名詞,9,只言片语,
483,片手,かたて,名詞,9,单手,
484,片思う,かたおもう,他動詞,9,单相思,
485,破片,はへん,名詞,9,碎片,
486,一言,ひとこと,名詞,9,一句话,
487,言語,げんご,名詞,9,语言,
488,言葉,ことば,名詞,9,言词,
489,遺言,ゆいごん,名詞/サ変,9,遗言,
490,伝言,でんごん,名詞/サ変,9,传话,
491,画期的,かっきてき,形容動詞,9,划时代的,
492,画家,がか,名詞,9,画家,
493,映画,えいが,名詞,9,电影,
494,絵画,かいが,名詞,9,绘画,
495,企画,きかく,名詞/サ変,9,企划,
496,計画,けいかく,名詞/サ変,9,计划,
497,がっくり,がっくり,副詞,9,突然无力的；灰心,
498,完走,かんそう,名詞/サ変,9,跑完全程,
499,膝,ひざ,名詞,9,膝盖,
500,がっかり,がっかり,副詞/サ変,9,失望,
501,落ち込む,おちこむ,自動詞,9,消沉,
502,落胆,らくたん,名詞/サ変,9,消沉，气馁,
503,がっしり,がっしり,副詞,9,粗壮，健壮,
504,しっかり,しっかり,副詞/サ変,9,可靠，稳固,
505,合致,がっち,名詞/サ変,9,一致，吻合,
